GameID,Date,Time,Status,SiteName,SubSiteName,BillToName,SportName,LevelName,HomeTeams,AwayTeams,Officials
"18747959","3/30/2025","12:30 PM","Normal","HARRISON - William Wilt Soccer Complex","S9","","Soccer","U-11","HARRISON STRIKERS 2014","CHERRY HILL SC WHITE (2014)",
"18696003","3/30/2025","2:00 PM","Normal","HARRISON - William Wilt Soccer Complex","S9","","Soccer","U-12","HARRISON WOLFPACK 2013","CHERRY HILL FC 2013 RED HAWKS",
"18743090","3/30/2025","3:30 PM","Normal","HARRISON - William Wilt Soccer Complex","S9","","Soccer","U-12","HARRISON SC LIGHTNING 2013","HADDONFIELD SC RED 2013",
"18683042","3/30/2025","11:00 AM","Normal","HIGHLAND - GLOUCESTER TWP PARK","F1","","Soccer","U-19","HIGHLAND YOUTH SOCCER CLUB GALAXY 2008","BURLINGTON TOWNSHIP SOCCER BULLS 2007-2008",
"18685440","3/30/2025","12:45 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","F1","","Soccer","U-19","HIGHLAND YOUTH SOCCER CLUB HURRICANES 2008","WASHINGTON TWP SOCCER CLUB SPARTANS 2007",
"18769274","3/30/2025","2:30 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","F1","","Soccer","U-13","HIGHLAND YOUTH SOCCER CLUB FORCE 2012","LOGAN FORCE 2012",
"18763783","3/30/2025","4:00 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","F1","","Soccer","U-13","HIGHLAND YOUTH SOCCER CLUB MUSTANGS 2012","PENNSAUKEN YOUTH SOCCER CLUB TITANS 2012",
"18772000","3/30/2025","1:15 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","S7","","Soccer","U-10","HIGHLAND YOUTH SOCCER CLUB LIGHTNING 2015","WEST DEPTFORD SC ANIMALS 2015",
"18772716","3/30/2025","2:30 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","S7","","Soccer","U-10","HIGHLAND YOUTH SOCCER CLUB STORM 2015","DEPTFORD SA THUNDER 2015",
"18743091","3/30/2025","12:00 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","S9","","Soccer","U-12","HIGHLAND YOUTH SOCCER CLUB FURY 2013","MANTUA TOWNSHIP SA MTSA ELITE 2014",
"18772746","3/30/2025","3:45 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","S9","","Soccer","U-11","HIGHLAND YOUTH SOCCER CLUB THUNDER 2014","WEST DEPTFORD SC EAGLES 2014",
"18783565","3/30/2025","12:30 PM","Normal","LOGAN - TWP LINE","F1","","Soccer","U-13","LOGAN FUSION 2012","PALMYRA RIVERTON SC YOUNGBLOODS 2013",
"18822532","3/30/2025","12:30 PM","Normal","LOGAN - TWP LINE","S7","","Soccer","U-9","LOGAN SUPERNOVA 2016","CINNAMINSON SC TITANS 2016",
"18783505","3/30/2025","2:00 PM","Normal","LOGAN - TWP LINE","S7","","Soccer","U-9","LOGAN APOLLO 2016","ATLANTIC UNITED PREMIER RED 2016/2017 B",
"18762615","3/30/2025","3:30 PM","Normal","LOGAN - TWP LINE","S7","","Soccer","U-10","LOGAN ARMADA BLUE 2015","DEPTFORD SA CYCLONES 2015",
"18754811","3/30/2025","2:00 PM","Normal","LOGAN - TWP LINE","S9","","Soccer","U-11","LOGAN CHARGE BLUE 2014","EAST GREENWICH SA EGSA EAGLES 2014",
"18720599","3/30/2025","2:30 PM","Normal","MAINLAND - MEMORIAL PARK","S7","","Soccer","U-9","MAINLAND UNITED SA MUSTANGS RED 2016 B","HADDONFIELD SC RED 2016",
"18758663","3/30/2025","3:45 PM","Normal","MAINLAND - MEMORIAL PARK","S7","","Soccer","U-8","MAINLAND UNITED SA MUSTANGS RED 2017 B","UPPER TOWNSHIP SA FLASH 2017",
"18687268","3/30/2025","12:00 PM","Normal","MAINLAND - MEMORIAL PARK","S9","","Soccer","U-12","MAINLAND UNITED SA MUSTANGS RED 2013 B","MEDFORD SC BLUE DEVILS 2013",
"18999196","3/30/2025","1:15 PM","Normal","MAINLAND - MEMORIAL PARK","S9","","Soccer","U-12","MAINLAND UNITED SA MUSTANGS WHITE 2013-14 B","MOORESTOWN SC THUNDER 2013",
"18762663","3/30/2025","1:15 PM","Normal","MANTUA TWP","S7","","Soccer","U-10","MANTUA TOWNSHIP SA FROGS 2015","PENNSAUKEN YOUTH SOCCER CLUB LIONS 2015",
"18700922","3/30/2025","2:30 PM","Normal","MANTUA TWP","S7","","Soccer","U-9","MANTUA TOWNSHIP SA MAMBAS 2016","MLU GLADIATORS 2016",
"18742822","3/30/2025","3:45 PM","Normal","MANTUA TWP","S7","","Soccer","U-10","MANTUA VIPERS 2015-2016","MAINLAND UNITED SA MUSTANGS WHITE 2015-16 B",
"18755540","3/30/2025","12:00 PM","Normal","MANTUA TWP","S9","","Soccer","U-11","MANTUA TOWNSHIP SA OUTLAWS 2014","MEDFORD SC CAROLINA 2014",
"18791892","3/30/2025","12:30 PM","Normal","MAPLE SHADE - TURF FIELD","S1","","Soccer","U-10","MAPLE SHADE WILD 2015","CINNAMINSON SC BANDITS 2015",
"18793462","3/30/2025","2:00 PM","Normal","MAPLE SHADE - TURF FIELD","S1","","Soccer","U-9","MAPLE SHADE SHARKS 2016","SWSA VENOM 2016",
"18748982","3/30/2025","3:30 PM","Normal","MAPLE SHADE - TURF FIELD","S1","","Soccer","U-8","MAPLE SHADE CHAOS 2017","WOODBURY WARRIORS",
"18791891","3/30/2025","3:45 PM","Normal","MARLTON - MEMORIAL","S7","","Soccer","U-10","MARLTON SC CHIEFS WHITE 2015","VOORHEES SA PYTHONS 2015",
"18687236","3/30/2025","12:00 PM","Normal","MARLTON - MEMORIAL","S9","","Soccer","U-12","MARLTON SC CHIEFS BLACK 2013","CHERRY HILL SC FORCE 2013",
"18687267","3/30/2025","1:15 PM","Normal","MARLTON - MEMORIAL","S9","","Soccer","U-12","MARLTON SC CHIEFS WHITE 2013","CHERRY HILL SC THUNDER 2013",
"18772748","3/30/2025","2:30 PM","Normal","MARLTON - MEMORIAL","S9","","Soccer","U-11","MARLTON SC CHIEFS BLACK 2014","EAST GREENWICH SA EGSA STARS 2014",
"18754973","3/30/2025","12:30 PM","Normal","MEDFORD - BENDE PARK","F1","","Soccer","U-13","MEDFORD SC DESTROYERS 2012","FTYSA CRUSADERS 2012",
"18755510","3/30/2025","2:00 PM","Normal","MEDFORD - BENDE PARK","S9","","Soccer","U-12","MEDFORD SC MAYHEM 2013","PITTSGROVE SOCCER CLUB PSC PYTHONS '13",
"18822499","3/30/2025","3:30 PM","Normal","MEDFORD - BENDE PARK","S9","","Soccer","U-11","MEDFORD SC GOLD 2014","DELRAN FC HAWKS 2014",
"18750896","3/30/2025","12:00 PM","Normal","MEDFORD STRIKERS - ARK ROAD COMPLEX","F1","","Soccer","U-14","MEDFORD STRIKERS 2011 BOYS","MANTUA TOWNSHIP SA UNION 2011",
"18756990","3/30/2025","4:00 PM","Normal","MEDFORD STRIKERS - ARK ROAD COMPLEX","S7","","Soccer","U-10","MEDFORD STRIKERS 2015 BOYS","WINSLOW TITANS 2015",
"18695958","3/30/2025","1:30 PM","Normal","MEDFORD STRIKERS - ARK ROAD COMPLEX","S9","","Soccer","U-11","MEDFORD STRIKERS 2014 BOYS","PENNSAUKEN YOUTH SOCCER CLUB AVENGERS 2014",
"18756953","3/30/2025","2:45 PM","Normal","MEDFORD STRIKERS - ARK ROAD COMPLEX","S9","","Soccer","U-12","MEDFORD STRIKERS 2013 BOYS","PENNSAUKEN YOUTH SOCCER CLUB REBELS 2013",
"18685426","3/30/2025","12:00 PM","Normal","MILLVILLE SOCCER COMPLEX","F1","","Soccer","U-19","MILLVILLE PHANTOMS 2007","MAPLE SHADE AVENGERS 2007",
"18820560","3/30/2025","1:45 PM","Normal","MILLVILLE SOCCER COMPLEX","F1","","Soccer","U-13","MILLVILLE LYNX 2012","SENECA UNITED SC PRIDE 2012",
"18818843","3/30/2025","3:20 PM","Normal","MILLVILLE SOCCER COMPLEX","F1","","Soccer","U-15","MILLVILLE VENOM 2010","ATLANTIC UNITED PREMIER STRIKERS 2010/11 B",
"18793402","3/30/2025","1:15 PM","Normal","MILLVILLE SOCCER COMPLEX","S7","","Soccer","U-10","MILLVILLE PREDATORS 2015","WASHINGTON TWP SOCCER CLUB RAPTORS 2015",
"18791893","3/30/2025","2:30 PM","Normal","MILLVILLE SOCCER COMPLEX","S7","","Soccer","U-10","MILLVILLE WARRIORS 2015","PITTSGROVE SOCCER CLUB PSC GALAXY '15",
"18752463","3/30/2025","3:45 PM","Normal","MILLVILLE SOCCER COMPLEX","S7","","Soccer","U-9","MILLVILLE THUNDER 2016","RANCOCAS VALLEY SC 2016 BOYS UNITED",
"18793371","3/30/2025","12:00 PM","Normal","MILLVILLE SOCCER COMPLEX","S9","","Soccer","U-12","MILLVILLE REBELS 2013","COSC TITANS 2013",
"18720598","3/30/2025","12:00 PM","Normal","MLU-MARNE HWY","S7-1","","Soccer","U-9","MLU REVOLUTION 2016","ATLANTIC UNITED PREMIER BLACK 2016 B",
"18792479","3/30/2025","1:15 PM","Normal","MLU-MARNE HWY","S7-1","","Soccer","U-8","MLU EAGLES 2017","HADDON TWP. WHITE HAWKS 2017",
"18762649","3/30/2025","2:30 PM","Normal","MLU-MARNE HWY","S7-1","","Soccer","U-10","MLU WOLFPACK 2015","PALMYRA RIVERTON SC NATIONALS 2015",
"18771386","3/30/2025","3:45 PM","Normal","MLU-MARNE HWY","S7-1","","Soccer","U-10","MLU SHARKS 2015","EGG HARBOR SC EAGLES 2015 BLACK",
"18770970","3/30/2025","2:00 PM","Normal","MLU-TROTTERS","F1","","Soccer","U-14","MLU WARRIORS 2011","MEDFORD SC COLUMBIA 2011",
"18685854","3/30/2025","3:30 PM","Normal","MLU-TROTTERS","F1","","Soccer","U-14","MLU FLASH 2011","MAINLAND UNITED SA MUSTANGS RED 2011 B",
"18755365","3/30/2025","12:30 PM","Normal","MLU-TROTTERS","S9","","Soccer","U-11","MLU COBRAS 2014","MONROE TOWNSHIP YS UNITED BOYS 2014 BLUE",
"18687250","3/30/2025","2:00 PM","Normal","MLU-TROTTERS","S9","","Soccer","U-12","MLU TIGERS 2013","HIGHLAND YOUTH SOCCER CLUB CHAOS 2013",
"18761436","3/30/2025","3:30 PM","Normal","MLU-TROTTERS","S9","","Soccer","U-12","MLU LIGHTNING 2014","MONROE UNITED 2013",
